ds,yhat,yhat_lower,yhat_upper
2019-01-01,4064.756213444856,2298.5799797766113,5979.97797479735
2019-01-02,3468.580459841081,1641.412467153423,5339.227511778108
2019-01-03,3593.037258529838,1593.3264094402552,5408.793173425382
2019-01-04,3483.59417333376,1582.3335996369606,5324.231652295695
2019-01-05,4421.530301315928,2600.3722837867454,6278.465998788298
2019-01-06,3800.7139241605882,1704.18023310631,5787.035265775653
2019-01-07,3254.2038301628845,1363.1349485550663,5083.6335749812715
2019-01-08,4047.325589256219,2104.977825358173,5897.227322924613
2019-01-09,3451.1498356484913,1508.6398668195086,5431.428781839495
2019-01-10,3575.6066343374855,1741.718857647638,5370.890057721584
2019-01-11,3466.1635491409434,1619.7903484174703,5417.210816691029
2019-01-12,4404.099677122426,2557.4381335983344,6115.942037232637
2019-01-13,3783.2832999639945,1916.4770239491886,5707.0055714520595
2019-01-14,3236.77320596592,1305.008427783012,5062.0978065833
2019-01-15,4029.894965059319,2193.5202054220495,5967.455593834887
2019-01-16,3433.719211455678,1644.9654741720885,5385.391818685971
2019-01-17,3558.1760101442596,1711.7224504972025,5542.335046407539
2019-01-18,3448.7329249496793,1555.566074209321,5458.705260070294
2019-01-19,4386.6690529265015,2386.6834743023314,6178.500821867151
2019-01-20,3765.8526757723735,1865.7025004153024,5689.117566552338
2019-01-21,3219.342581770081,1280.6427303683672,5108.190396133409
2019-01-22,4012.4643408573984,2046.020436100169,5927.52105046733
2019-01-23,3416.2885872476368,1646.6080196706616,5242.197537501767
2019-01-24,3540.7453858948033,1610.7614011054216,5475.168900810377
2019-01-25,3431.3023006591193,1472.1645584583516,5334.805706933894
2019-01-26,4369.238428596886,2499.1400948482824,6264.118022029294
2019-01-27,3748.422051400639,1790.8579505116602,5676.114740816346
2019-01-28,3201.9119573619455,1362.0077359242885,4986.550588037596
2019-01-29,3995.03371641534,2103.074226328423,5788.26171767393
2019-01-30,3398.857962767318,1431.22410322479,5242.972714772749
2019-01-31,3523.3147614133973,1649.6421836732377,5402.897488264931
2019-02-01,3413.8716761750065,1481.55437002011,5298.253467900565
2019-02-02,4351.807804110454,2501.8972977074063,6357.675856056538
2019-02-03,3730.991426909222,1820.1681900927222,5611.25938633086
2019-02-04,3184.4813328668524,1289.1584086772723,5109.4902465866335
2019-02-05,3977.603091914855,2184.7324893204604,5938.700386866508
2019-02-06,3381.4273382647257,1544.3439915294173,5238.327097926845
2019-02-07,3505.884136906336,1575.6791492367747,5216.767682318434
2019-02-08,3396.4410516643293,1548.270653168797,5228.141517412619
2019-02-09,4334.377179597208,2348.0863669654077,6297.049228299036
2019-02-10,3713.560802394549,1858.8750596906168,5557.9626382678225
2019-02-11,3167.0507083478105,1467.463167696377,5019.6070325382125
2019-02-12,3960.1724673940407,2040.7433833234072,5832.355960886188
2019-02-13,3363.996713741556,1396.1660480145651,5307.331570223391
2019-02-14,3488.4535123812193,1494.591432343125,5247.779744412445
2019-02-15,3379.0104271372093,1525.6504242903418,5201.3575401985045
2019-02-16,4316.946555062695,2441.2029761128674,6212.770814212601
2019-02-17,3696.1301778554603,1880.1062988604865,5567.127076437908
2019-02-18,3149.620083802188,1363.892685583492,4926.465798691505
2019-02-19,3942.7418428403257,2079.4485320794292,5842.927781046285
2019-02-20,3346.566089181295,1343.488876078943,5215.048239199535
2019-02-21,3471.0228878128028,1647.7468824350171,5342.211346607439
2019-02-22,3361.5798025617437,1492.413646405955,5252.385201082941
2019-02-23,4299.515930483721,2464.854749861525,6188.549097953476
2019-02-24,3678.6995532710666,1817.3085821334967,5590.9997227887625
2019-02-25,3132.1894592161557,1314.8009893026942,5166.253738931559
2019-02-26,3925.311218250734,2034.3065969198296,5833.3227789942675
